Ref,Val,Package,PosX,PosY,Rot,Side
"B1","~","IDC-Header_2x17_P2.54mm_Horizontal",198.374000,-82.296000,0.000000,top
"C1","470n","C_0805_2012Metric",144.599500,-91.170000,90.000000,top
"C2","12p","C_0805_2012Metric",127.254000,-72.898000,180.000000,top
"C5","4u7","C_0805_2012Metric",131.762000,-96.795500,90.000000,top
"C6","1n","C_0402_1005Metric",148.844000,-83.820000,180.000000,top
"C7","470n","C_0805_2012Metric",134.772000,-96.795500,90.000000,top
"C8","470n","C_0805_2012Metric",137.782000,-96.795500,90.000000,top
"C9","470n","C_0805_2012Metric",147.109500,-91.170000,90.000000,top
"C10","4u7","C_0805_2012Metric",140.792000,-96.795500,90.000000,top
"C11","10n","C_0805_2012Metric",128.778000,-84.306500,90.000000,top
"C12","10n","C_0805_2012Metric",131.788000,-84.306500,90.000000,top
"C13","0p7","C_0805_2012Metric",138.176000,-68.072000,90.000000,top
"C14","4.7pF","C_0805_2012Metric",154.432000,-67.310000,90.000000,top
"C15","68p","C_0805_2012Metric",128.778000,-66.122500,90.000000,top
"C16","2.7p","C_0805_2012Metric",136.144000,-68.072000,90.000000,top
"C17","3.6pF","C_0805_2012Metric",156.464000,-67.310000,-90.000000,top
"C18","15p","C_0805_2012Metric",132.842000,-64.786500,90.000000,top
"C19","47n","C_0805_2012Metric",130.810000,-66.122500,90.000000,top
"C21","68p","C_0805_2012Metric",135.636000,-65.278000,0.000000,top
"C22","6.8pF","C_0805_2012Metric",151.927500,-66.004000,90.000000,top
"C23","6.8pF","C_0805_2012Metric",151.892000,-62.484000,-90.000000,top
"C24","8p2","C_0805_2012Metric",140.208000,-65.090000,-90.000000,top
"C25","3.3p","C_0805_2012Metric",138.430000,-61.534000,90.000000,top
"C53","68p","C_0805_2012Metric",144.780000,-57.404000,90.000000,top
"D1","Green","LED_0805_2012Metric",137.922000,-91.186000,90.000000,top
"D2","D_Schottky","D_SOD-323",154.178000,-86.868000,180.000000,top
"D3","Green","LED_0805_2012Metric",134.874000,-91.177000,90.000000,top
"D4","Green","LED_0805_2012Metric",131.493500,-79.248000,0.000000,top
"D5","Green","LED_0805_2012Metric",123.178500,-72.755000,0.000000,top
"D6","Green","LED_0805_2012Metric",123.178500,-69.715000,0.000000,top
"J2","Conn_Coaxial_Small","SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount",144.780000,-52.922500,90.000000,top
"J3","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",118.364000,-87.884000,180.000000,top
"L1","56n","L_0603_1608Metric",133.495000,-68.916500,0.000000,top
"L2","33nH","L_0603_1608Metric",155.448000,-69.850000,180.000000,top
"L3","11n","L_0603_1608Metric",133.495000,-67.326500,180.000000,top
"L4","22n","L_0603_1608Metric",138.176000,-64.770000,90.000000,top
"L5","33nH","L_0603_1608Metric",153.670000,-64.008000,90.000000,top
"L6","0","L_0603_1608Metric",135.864500,-63.500000,180.000000,top
"Q2","DMN1019USN-7","SOT-23",154.178000,-84.074000,0.000000,top
"Q4","Q_NPN","SOT-23",178.054000,-89.916000,-90.000000,top
"R1","10k","R_0805_2012Metric",146.812000,-84.836000,90.000000,top
"R2","470","R_0805_2012Metric",128.778000,-91.193000,90.000000,top
"R3","470","R_0805_2012Metric",131.826000,-91.161000,90.000000,top
"R4","470","R_0805_2012Metric",127.508000,-79.248000,180.000000,top
"R5","470","R_0805_2012Metric",118.768500,-72.800000,180.000000,top
"R6","470","R_0805_2012Metric",118.768500,-69.850000,180.000000,top
"R10","10k","R_0805_2012Metric",171.450000,-87.884000,90.000000,top
"R11","20k","R_0805_2012Metric",181.610000,-88.646000,90.000000,top
"R12","100k","R_0805_2012Metric",176.784000,-86.868000,0.000000,top
"U1","STM32WL55CCU7","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",138.299500,-84.090000,90.000000,top
"U2","AS179-92LF","SOT-363_SC-70-6",144.384000,-61.910000,90.000000,top
"X1","32MHz","Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm",127.191000,-76.166000,-90.000000,top
