Ref,Val,Package,PosX,PosY,Rot,Side
"B1","~","IDC-Header_2x17_P2.54mm_Horizontal",198.374000,-82.296000,0.000000,top
"C1","470n","C_0603_1608Metric",127.270000,-80.337500,0.000000,top
"C2","1n","C_0805_2012Metric",121.644500,-58.470000,0.000000,top
"C3","100n","C_0805_2012Metric",121.644500,-61.480000,0.000000,top
"C4","1u","C_0805_2012Metric",121.644500,-64.490000,0.000000,top
"C5","4u7","C_0805_2012Metric",121.644500,-67.500000,0.000000,top
"C6","1n","C_0402_1005Metric",143.056000,-83.944500,0.000000,top
"C7","470n","C_0805_2012Metric",121.644500,-70.510000,0.000000,top
"C8","470n","C_0805_2012Metric",121.644500,-73.520000,0.000000,top
"C9","470n","C_0603_1608Metric",127.270000,-82.847500,0.000000,top
"C10","4u7","C_0805_2012Metric",121.644500,-76.530000,0.000000,top
"C11","10n","C_0805_2012Metric",134.133500,-64.516000,0.000000,top
"C12","10n","C_0805_2012Metric",134.133500,-67.526000,0.000000,top
"C14","4.7pF","C_0805_2012Metric",152.886500,-86.360000,0.000000,top
"C15","68p","C_0805_2012Metric",146.558000,-75.438000,180.000000,top
"C16","2.7p","C_0805_2012Metric",148.200000,-79.067500,0.000000,top
"C17","3.6pF","C_0805_2012Metric",148.200000,-82.077500,180.000000,top
"C18","15p","C_0805_2012Metric",161.798000,-72.136000,0.000000,top
"C19","47n","C_0805_2012Metric",153.010000,-73.047500,0.000000,top
"C21","68p","C_0805_2012Metric",154.432000,-78.298000,-90.000000,top
"C22","6.8pF","C_0805_2012Metric",153.010000,-83.312000,0.000000,top
"C23","6.8pF","C_0805_2012Metric",156.530000,-83.276500,180.000000,top
"C24","8p2","C_0805_2012Metric",158.242000,-77.493000,0.000000,top
"C26","100n","C_0805_2012Metric",171.390000,-75.205000,0.000000,top
"C53","68p","C_0805_2012Metric",151.130000,-60.452000,90.000000,top
"D1","Green","LED_0805_2012Metric",127.254000,-73.660000,0.000000,top
"D2","D_Schottky","D_2114_3652Metric",140.208000,-90.932000,0.000000,top
"D3","Green","LED_0805_2012Metric",127.263000,-70.612000,0.000000,top
"D4","Green","LED_0805_2012Metric",141.302500,-62.230000,0.000000,top
"D5","BAT54W-HG3-08","D_SOD-123",171.905000,-64.055000,0.000000,top
"D6","BAT54W-HG3-08","D_SOD-123",171.905000,-67.405000,180.000000,top
"D7","Green","LED_1206_3216Metric",186.690000,-68.870500,90.000000,top
"J1","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",191.262000,-90.932000,0.000000,top
"J2","Conn_Coaxial_Small","SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount",146.304000,-53.340000,90.000000,top
"J3","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",130.556000,-54.102000,90.000000,top
"L1","56n","L_0603_1608Metric",153.136500,-69.850000,0.000000,top
"L2","33nH","L_0603_1608Metric",148.082000,-86.614000,0.000000,top
"L3","11n","L_0603_1608Metric",157.593000,-72.898000,0.000000,top
"L4","21n","L_0402_1005Metric",155.956000,-77.470000,90.000000,top
"L5","33nH","L_0603_1608Metric",154.686000,-81.498500,0.000000,top
"L6","0","L_0402_1005Metric",155.956000,-79.548000,-90.000000,top
"Q1","NDT3055L","SOT-223-3_TabPin2",130.810000,-90.932000,0.000000,top
"Q2","FDN 306P","SOT-23",183.070000,-74.750000,0.000000,top
"Q3","NMOS","SOT-23-3",171.560000,-71.480000,0.000000,top
"R1","10k","R_0805_2012Metric",138.700000,-84.074000,0.000000,top
"R2","470","R_0805_2012Metric",127.247000,-64.516000,0.000000,top
"R3","470","R_0805_2012Metric",127.279000,-67.564000,0.000000,top
"R4","470","R_0805_2012Metric",141.224000,-59.690000,0.000000,top
"R5","180k","R_1206_3216Metric",177.750000,-64.025000,0.000000,top
"R6","1k","R_0805_2012Metric",183.100000,-63.855000,0.000000,top
"R7","180k","R_1206_3216Metric",177.750000,-67.315000,0.000000,top
"R8","13k","R_0603_1608Metric",177.546000,-71.374000,0.000000,top
"R9","150","R_0805_2012Metric",183.100000,-66.805000,0.000000,top
"R10","R","R_0805_2012Metric",171.704000,-88.900000,180.000000,top
"R11","R","R_0805_2012Metric",177.054000,-88.900000,180.000000,top
"U1","STM32WL55CCU7","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",134.350000,-74.037500,0.000000,top
"U2","AS179-92LF","SOT-363_SC-70-6",156.276000,-63.612000,180.000000,top
"U3","TPS2553DBVT-1","SOT-23-6",177.700000,-74.800000,0.000000,top
"X1","32MHz","Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm",132.876000,-82.487000,0.000000,top
