"Reference","Qty","Value","LCSC"
"B1,J2","2","Conn_Coaxial_Small,~",""
"C1,C9","2","470n","C49326648"
"C2","1","1n","C49326696"
"C3","1","100n","C48579599"
"C4","1","1u","C48579603"
"C5,C10","2","4u7","C48579585"
"C6","1","1n","C48579245"
"C7,C8","2","470n","C48579643"
"C11,C12","2","10n","C48579597"
"C14","1","4.7pF","C1820"
"C15,C21,C53","3","68p","C1834"
"C16","1","2.7p","C1803"
"C17","1","3.6pF","C1812"
"C18","1","15p","C63339"
"C19","1","47n","C1745"
"C22,C23","2","6.8pF","C1832"
"C24","1","8p2","C1840"
"D1,D3,D4,D5,D6","5","Green","C84260"
"D2","1","D_Schottky","C358488"
"J3","1","Conn_01x03_Pin","C49257"
"L1","1","56n","C162554"
"L2,L5","2","33nH","C90209"
"L3","1","11n","C701196"
"L4","1","22n","C84341"
"L6","1","0","C95177"
"Q2","1","DMN1019USN-7","C145103"
"Q4","1","Q_NPN","C39828"
"R1,R10","2","10k","C84376"
"R2,R3,R4,R5,R6","5","470","C2907267"
"R11","1","20k","C114566"
"R12","1","100k","C96346"
"U1","1","STM32WL55CCU7","C3606913"
"U2","1","AS179-92LF","C513494"
"X1","1","32MHz","C2650719"
